movieId,wr,year,title2,genres,imdbId_y,poster_y,title,tmdbId_y,link
1,3.860736211865493,1995,toystory,Adventure|Animation|Children|Comedy|Fantasy,114709,https://image.tmdb.org/t/p/w500/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Toy Story (1995),862.0,https://www.imdb.com/title/tt0114709
2,3.2229227984934674,1995,jumanji,Adventure|Children|Fantasy,113497,https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Jumanji (1995),8844.0,https://www.imdb.com/title/tt0113497
3,3.1610045884496927,1995,grumpieroldmen,Comedy|Romance,113228,https://image.tmdb.org/t/p/w500/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Grumpier Old Men (1995),15602.0,https://www.imdb.com/title/tt0113228
4,2.9559057301753966,1995,waitingtoexhale,Comedy|Drama|Romance,114885,https://image.tmdb.org/t/p/w500/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Waiting to Exhale (1995),31357.0,https://www.imdb.com/title/tt0114885
5,3.0772259309810224,1995,fatherofthebridepartii,Comedy,113041,https://image.tmdb.org/t/p/w500/e64sOI48hQXyru7naBFyssKFxVd.jpg,Father of the Bride Part II (1995),11862.0,https://www.imdb.com/title/tt0113041
6,3.783173486989485,1995,heat,Action|Crime|Thriller,113277,https://image.tmdb.org/t/p/w500/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Heat (1995),949.0,https://www.imdb.com/title/tt0113277
7,3.3317260813133163,1995,sabrina,Comedy|Romance,114319,https://image.tmdb.org/t/p/w500/zENmHYYCsR6xgdyh2uHXPX4tyXE.jpg,Sabrina (1995),11860.0,https://www.imdb.com/title/tt0114319
8,3.0886779105579203,1995,tomandhuck,Adventure|Children,112302,https://image.tmdb.org/t/p/w500/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Tom and Huck (1995),45325.0,https://www.imdb.com/title/tt0112302
9,3.0263471347281627,1995,suddendeath,Action,114576,https://image.tmdb.org/t/p/w500/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Sudden Death (1995),9091.0,https://www.imdb.com/title/tt0114576
10,3.4077376416927128,1995,goldeneye,Action|Adventure|Thriller,113189,https://image.tmdb.org/t/p/w500/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,GoldenEye (1995),710.0,https://www.imdb.com/title/tt0113189
11,3.5981802378244336,1995,"americanpresident,the",Comedy|Drama|Romance,112346,https://image.tmdb.org/t/p/w500/lymPNGLZgPHuqM29rKMGV46ANij.jpg,"American President, The (1995)",9087.0,https://www.imdb.com/title/tt0112346
12,2.8029852065713188,1995,dracula:deadandlovingit,Comedy|Horror,112896,https://image.tmdb.org/t/p/w500/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Dracula: Dead and Loving It (1995),12110.0,https://www.imdb.com/title/tt0112896
13,3.180178203628933,1995,balto,Adventure|Animation|Children,112453,https://image.tmdb.org/t/p/w500/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Balto (1995),21032.0,https://www.imdb.com/title/tt0112453
14,3.3386061001596263,1995,nixon,Drama,113987,https://image.tmdb.org/t/p/w500/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Nixon (1995),10858.0,https://www.imdb.com/title/tt0113987
15,2.8675595773727287,1995,cutthroatisland,Action|Adventure|Romance,112760,https://image.tmdb.org/t/p/w500/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Cutthroat Island (1995),1408.0,https://www.imdb.com/title/tt0112760
16,3.722543592118556,1995,casino,Crime|Drama,112641,https://image.tmdb.org/t/p/w500/jC0dqpkRMwh3A1X2PHahTxOaLbp.jpg,Casino (1995),524.0,https://www.imdb.com/title/tt0112641
17,3.8762680124040014,1995,senseandsensibility,Drama|Romance,114388,https://image.tmdb.org/t/p/w500/1ryNXjmwdCTqLXxXCG9BGvZyMOH.jpg,Sense and Sensibility (1995),4584.0,https://www.imdb.com/title/tt0114388
18,3.3148204699456665,1995,fourrooms,Comedy,113101,https://image.tmdb.org/t/p/w500/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Four Rooms (1995),5.0,https://www.imdb.com/title/tt0113101
19,2.670546788417246,1995,aceventura:whennaturecalls,Comedy,112281,https://image.tmdb.org/t/p/w500/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,Ace Ventura: When Nature Calls (1995),9273.0,https://www.imdb.com/title/tt0112281
20,2.9491255806622614,1995,moneytrain,Action|Comedy|Crime|Drama|Thriller,113845,https://image.tmdb.org/t/p/w500/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Money Train (1995),11517.0,https://www.imdb.com/title/tt0113845
21,3.530495149656774,1995,getshorty,Comedy|Crime|Thriller,113161,https://image.tmdb.org/t/p/w500/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Get Shorty (1995),8012.0,https://www.imdb.com/title/tt0113161
22,3.2598602845776763,1995,copycat,Crime|Drama|Horror|Mystery|Thriller,112722,https://image.tmdb.org/t/p/w500/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Copycat (1995),1710.0,https://www.imdb.com/title/tt0112722
23,3.126787963941884,1995,assassins,Action|Crime|Thriller,112401,https://image.tmdb.org/t/p/w500/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Assassins (1995),9691.0,https://www.imdb.com/title/tt0112401
24,3.1567446293488772,1995,powder,Drama|Sci-Fi,114168,https://image.tmdb.org/t/p/w500/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,Powder (1995),12665.0,https://www.imdb.com/title/tt0114168
25,3.6164613034790016,1995,leavinglasvegas,Drama|Romance,113627,https://image.tmdb.org/t/p/w500/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,Leaving Las Vegas (1995),451.0,https://www.imdb.com/title/tt0113627
26,3.3770781915327923,1995,othello,Drama,114057,https://image.tmdb.org/t/p/w500/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,Othello (1995),16420.0,https://www.imdb.com/title/tt0114057
